state,year,Incident,Population,Murder rate,Unemployment rate,ammpermit,Median Household income,Crime rate
Alabama,2000,1163,4452173,26.12207567,4.6,0,35424,
Alaska,2000,48,627963,7.643762451,6.3,0,52847,
Arizona,2000,1749,5160586,33.89149992,4,0,39783,
Arkansas,2000,222,2678588,8.287948725,4.2,0,29697,
California,2000,17634,33987977,51.88305265,4.9,0,46816,
Colorado,2000,227,4326921,5.24622474,2.7,0,48240,
Connecticut,2000,161,3411777,4.718948513,2.1,0,50172,
Delaware,2000,37,786373,4.705146286,3.6,0,50365,
Florida,2000,332520,16047515,2072.096521,3.8,0,38856,
Georgia,2000,1773,8227303,21.55019695,3.5,0,41901,
Hawaii,2000,54,1213519,4.449868523,4.2,0,51546,
Idaho,2000,17,1299430,1.308265932,4.7,0,37611,
Illinois,2000,18114,12434161,145.6793104,4.4,1,46064,
Indiana,2000,873,6091866,14.33058442,3,0,40865,
Iowa,2000,59,2929067,2.014293289,2.7,0,40991,
Kansas,2000,52,2693681,1.93044388,3.8,0,41059,
Kentucky,2000,143,4049021,3.531717914,4.1,0,36265,
Louisiana,2000,2744,4471885,61.3611486,5.2,0,30718,
Maine,2000,18,1277072,1.409474172,3.3,0,37266,
Maryland,2000,3695,5311034,69.57213981,3.5,0,54535,
Massachusetts,2000,186,6361104,2.924020736,2.8,1,46753,
Michigan,2000,8064,9952450,81.02527518,3.6,0,45512,
Minnesota,2000,230,4933692,4.661823235,3,0,54251,
Mississippi,2000,262,2848353,9.198298104,5.3,0,34299,
Missouri,2000,1605,5607285,28.62347821,3.4,0,45097,
Montana,2000,13,903773,1.438414292,4.8,0,32777,
Nebraska,2000,30,1713820,1.750475546,2.8,0,41750,
Nevada,2000,496,2018741,24.56976898,4.1,0,45758,
New Hampshire,2000,15,1239882,1.209792545,2.7,0,50926,
New Jersey,2000,741,8430621,8.789388113,3.7,0,50405,
New Mexico,2000,194,1821204,10.65229376,5,0,35093,
New York,2000,21413,19001780,112.6894428,4.5,0,40744,
North Carolina,2000,1000,8081614,12.37376593,3.7,0,38317,
North Dakota,2000,4,642023,0.623030639,3,0,35996,
Ohio,2000,901,11363543,7.928865144,4.1,0,42962,
Oklahoma,2000,311,3454365,9.003101873,3,0,32432,
Oregon,2000,98,3429708,2.85738611,5.2,0,42499,
Pennsylvania,2000,5270,12284173,42.90073088,4.2,0,42176,
Rhode Island,2000,Not Found,1050268,#VALUE!,4,0,42197,
South Carolina,2000,376,4024223,9.343418593,3.7,0,37570,
South Dakota,2000,8,755844,1.058419462,2.5,0,36475,
Tennessee,2000,1604,5703719,28.1220025,3.9,0,34096,
Texas,2000,6777,20944499,32.3569449,4.4,0,38609,
Utah,2000,63,2244502,2.806858715,3.3,0,47550,
Vermont,2000,10,609618,1.640371511,2.8,0,39594,
Virginia,2000,775,7105817,10.90655726,2.3,0,47163,
Washington,2000,290,5910512,4.906512329,5.1,0,42525,
West Virginia,2000,85,1807021,4.703874498,5.6,0,29411,
Wisconsin,2000,806,5373999,14.99814198,3.4,0,45088,
Wyoming,2000,12,494300,2.427675501,3.8,0,39629,
Alabama,2001,734,4467634,16.42927778,5.2,0,35160,
Alaska,2001,49,633714,7.732194649,6.3,0,57363,
Arizona,2001,2929,5273477,55.54210249,4.7,0,42704,
Arkansas,2001,602,2691571,22.36612001,4.8,0,33339,
California,2001,19685,34479458,57.09196473,5.5,0,47262,
Colorado,2001,300,4425687,6.778608609,3.8,0,49397,
Connecticut,2001,174,3432835,5.068696864,2.9,0,53347,
Delaware,2001,39,795699,4.901350888,3.6,0,49602,
Florida,2001,442633,16356966,2706.082534,4.4,0,36421,
Georgia,2001,2154,8377038,25.71314586,4.1,0,42576,
Hawaii,2001,57,1225948,4.649463109,4.3,0,47439,
Idaho,2001,35,1319962,2.651591485,5.1,0,38241,
Illinois,2001,20789,12488445,166.4658811,5.4,1,46171,
Indiana,2001,1274,6127760,20.79063149,4.2,0,40379,
Iowa,2001,63,2931997,2.148706155,3.3,0,40976,
Kansas,2001,105,2702162,3.885777389,4.3,0,41415,
Kentucky,2001,147,4068132,3.613452071,5.2,0,38437,
Louisiana,2001,3090,4477875,69.0059459,5.6,0,33322,
Maine,2001,21,1285692,1.633361645,3.8,0,36612,
Maryland,2001,3898,5374691,72.52509958,4.2,0,53530,
Massachusetts,2001,351,6397634,5.486403255,3.8,1,52253,
Michigan,2001,7667,9991120,76.73814347,5.2,0,45047,
Minnesota,2001,215,4982796,4.314846524,3.8,0,52681,
Mississippi,2001,322,2852994,11.28638897,5.5,0,30161,
Missouri,2001,1965,5641142,34.83337239,4.5,0,41339,
Montana,2001,22,906961,2.425683133,4.6,0,32126,
Nebraska,2001,20,1719836,1.162901579,3.1,0,43611,
Nevada,2001,1998,2098399,95.21544759,5.2,0,45403,
New Hampshire,2001,20,1255517,1.592969271,3.4,0,51331,
New Jersey,2001,767,8492671,9.031316532,4.2,0,51771,
New Mexico,2001,166,1831690,9.062668901,5,0,33124,
New York,2001,20354,19082838,106.6612838,4.9,0,42114,
North Carolina,2001,882,8210122,10.74283671,5.6,0,38162,
North Dakota,2001,9,639062,1.40831406,2.8,0,35793,
Ohio,2001,1329,11387404,11.67078994,4.4,0,41785,
Oklahoma,2001,389,3467100,11.21975138,3.6,0,35609,
Oregon,2001,126,3467937,3.633283996,6.4,0,41273,
Pennsylvania,2001,5044,12298970,41.01156438,4.8,0,43499,
Rhode Island,2001,Not Found,1057142,#VALUE!,4.5,0,45723,
South Carolina,2001,435,4064995,10.70112017,5.3,0,37736,
South Dakota,2001,10,757972,1.319309948,3,0,39671,
Tennessee,2001,1749,5750789,30.41321808,4.5,0,35783,
Texas,2001,7635,21319622,35.8120796,5,0,40860,
Utah,2001,119,2283715,5.210807828,4.4,0,47342,
Vermont,2001,7,612223,1.143374228,3.3,0,40794,
Virginia,2001,680,7198362,9.446593544,3.3,0,50241,
Washington,2001,291,5985722,4.861568913,6,0,42490,
West Virginia,2001,44,1801481,2.442434863,5.4,0,29673,
Wisconsin,2001,1558,5406835,28.81537905,4.4,0,45346,
Wyoming,2001,12,494657,2.425923418,3.8,0,39719,
Alabama,2002,601,4480089,13.41491207,5.9,0,37603,
Alaska,2002,63,642337,9.80793571,7.2,0,52774,
Arizona,2002,2488,5396255,46.10604947,6.2,0,39734,
Arkansas,2002,1207,2705927,44.60578574,5.3,0,32387,
California,2002,23872,34871843,68.45637611,6.8,0,47437,
Colorado,2002,351,4490406,7.81666513,5.7,0,48294,
Connecticut,2002,122,3458749,3.527286889,4.4,0,53387,
Delaware,2002,38,806169,4.713651852,4.3,0,49650,
Florida,2002,470600,16689370,2819.758924,4.9,0,38024,
Georgia,2002,2069,8508256,24.31755697,5.3,0,42939,
Hawaii,2002,38,1239613,3.065472853,4,0,47303,
Idaho,2002,37,1340372,2.760427702,5.6,0,37715,
Illinois,2002,19581,12525556,156.3283897,6.6,1,42710,
Indiana,2002,1047,6155967,17.00788844,5.2,0,41047,
Iowa,2002,53,2934234,1.806263577,4,0,41049,
Kansas,2002,104,2713535,3.832638975,5.1,0,42619,
Kentucky,2002,161,4089875,3.936550628,5.8,0,36762,
Louisiana,2002,3815,4497267,84.82929744,6,0,34008,
Maine,2002,17,1295960,1.311768882,4.5,0,36853,
Maryland,2002,3877,5440389,71.2632865,4.8,0,56407,
Massachusetts,2002,345,6417206,5.376171499,5.2,1,49855,
Michigan,2002,7749,10015710,77.36845416,6.2,0,42715,
Minnesota,2002,207,5018935,4.124380969,4.5,0,54622,
Mississippi,2002,340,2858681,11.89359708,6.4,0,30882,
Missouri,2002,1254,5674825,22.09759772,5.3,0,42776,
Montana,2002,13,911667,1.425959259,4.6,0,34835,
Nebraska,2002,25,1728292,1.446514825,3.7,0,42796,
Nevada,2002,1011,2173791,46.50861099,5.7,0,44958,
New Hampshire,2002,16,1269089,1.260746882,4.5,0,55321,
New Jersey,2002,626,8552643,7.319374841,5.8,0,54568,
New Mexico,2002,329,1855309,17.73289517,5.5,0,35457,
New York,2002,17655,19137800,92.25198299,6.2,0,41966,
North Carolina,2002,1001,8326201,12.02228964,6.9,0,36515,
North Dakota,2002,5,638168,0.783492748,3.4,0,36200,
Ohio,2002,1425,11407889,12.49135576,5.8,0,42684,
Oklahoma,2002,290,3489080,8.311646623,4.6,0,36458,
Oregon,2002,93,3513424,2.646990514,7.5,0,41802,
Pennsylvania,2002,4409,12331031,35.7553233,5.6,0,42498,
Rhode Island,2002,Not Found,1065995,#VALUE!,5.1,0,42417,
South Carolina,2002,382,4107795,9.299392983,6.4,0,37812,
South Dakota,2002,18,760020,2.368358727,3.2,0,37873,
Tennessee,2002,1745,5795918,30.10739627,5.1,0,37030,
Texas,2002,6888,21690325,31.75609402,6.3,0,40149,
Utah,2002,64,2324815,2.752907221,5.7,0,47861,
Vermont,2002,13,615442,2.112303028,3.8,0,42999,
Virginia,2002,861,7286873,11.81576789,4.4,0,49631,
Washington,2002,308,6052349,5.088933239,7.1,0,45183,
West Virginia,2002,81,1805414,4.486505588,6.5,0,29359,
Wisconsin,2002,700,5445162,12.85544856,5.3,0,45903,
Wyoming,2002,17,500017,3.399884404,4,0,39763,
Alabama,2003,749,4503491,16.63154206,6,0,37255,
Alaska,2003,69,648414,10.64134951,7.7,0,51837,
Arizona,2003,3319,5510364,60.23195564,5.8,0,41166,
Arkansas,2003,299,2724816,10.97321801,5.8,0,32002,
California,2003,17366,35253159,49.26083362,6.9,0,49300,
Colorado,2003,409,4528732,9.031225517,6.1,0,49940,
Connecticut,2003,189,3484336,5.42427596,5.5,0,54965,
Delaware,2003,23,818003,2.811725629,4.5,0,49019,
Florida,2003,482928,17004085,2840.070489,4.5,0,38972,
Georgia,2003,1999,8622793,23.18274369,5.1,0,42438,
Hawaii,2003,30,1251154,2.397786364,3.9,0,51834,
Idaho,2003,31,1363380,2.2737608,5.6,0,42372,
Illinois,2003,17431,12556006,138.8259929,6.7,1,45153,
Indiana,2003,1008,6196638,16.26688537,5.3,0,42425,
Iowa,2003,58,2941999,1.971448665,4.4,0,41384,
Kansas,2003,132,2723004,4.847587444,5.5,0,44232,
Kentucky,2003,169,4117170,4.10476128,6.2,0,36936,
Louisiana,2003,4041,4521042,89.38204954,6.3,0,33507,
Maine,2003,16,1306513,1.224633815,5.1,0,37113,
Maryland,2003,4210,5496269,76.59741545,4.8,0,52314,
Massachusetts,2003,250,6422565,3.892525805,5.7,1,50955,
Michigan,2003,7057,10041152,70.28078053,7.1,0,45022,
Minnesota,2003,251,5053572,4.966783891,4.8,0,52823,
Mississippi,2003,288,2868312,10.04074871,6.1,0,32728,
Missouri,2003,950,5709403,16.6392178,5.7,0,43762,
Montana,2003,22,919630,2.392266455,4.7,0,34108,
Nebraska,2003,24,1738643,1.380386888,3.9,0,43974,
Nevada,2003,1127,2248850,50.11450297,5.3,0,45184,
New Hampshire,2003,11,1279840,0.859482435,4.5,0,55567,
New Jersey,2003,880,8601402,10.23089027,5.8,0,56045,
New Mexico,2003,239,1877574,12.72919203,5.9,0,35105,
New York,2003,19141,19175939,99.81779771,6.4,0,42788,
North Carolina,2003,868,8422501,10.30572748,6.7,0,37279,
North Dakota,2003,8,638817,1.252314826,3.5,0,40410,
Ohio,2003,1562,11434788,13.66006961,6.2,0,43520,
Oklahoma,2003,539,3504892,15.37850524,5.4,0,35902,
Oregon,2003,118,3547376,3.326402389,8,0,41638,
Pennsylvania,2003,6253,12374658,50.53068941,5.7,0,42933,
Rhode Island,2003,Not Found,1071342,#VALUE!,5.6,0,44711,
South Carolina,2003,393,4150297,9.469201843,7.2,0,38479,
South Dakota,2003,11,763729,1.440301468,3.5,0,39522,
Tennessee,2003,1459,5847812,24.94950248,5.5,0,37523,
Texas,2003,8049,22030931,36.53499709,6.7,0,39271,
Utah,2003,75,2360137,3.177781629,5.6,0,49275,
Vermont,2003,15,617858,2.427742297,4.4,0,43261,
Virginia,2003,908,7366977,12.32527263,4.3,0,54783,
Washington,2003,309,6104115,5.062158888,7.2,0,47508,
West Virginia,2003,72,1812295,3.972863138,6.6,0,32763,
Wisconsin,2003,774,5479203,14.12614207,5.6,0,46269,
Wyoming,2003,18,503453,3.575308917,4.3,0,42555,
Alabama,2004,502,4530729,11.07989465,5.6,0,36629,
Alaska,2004,70,659286,10.61754686,7.4,0,55063,
Arizona,2004,2755,5652404,48.74032359,5,0,43846,
Arkansas,2004,993,2749686,36.11321438,5.6,0,34984,
California,2004,17046,35574576,47.91624221,6.2,0,49222,
Colorado,2004,644,4575013,14.07646273,5.6,0,50886,
Connecticut,2004,130,3496094,3.718435488,5.1,0,55100,
Delaware,2004,35,830803,4.212791721,4.3,0,48049,
Florida,2004,507024,17415318,2911.368027,3.8,0,40535,
Georgia,2004,1441,8769252,16.43241636,5.1,0,40984,
Hawaii,2004,56,1273569,4.397091952,3.3,0,56242,
Idaho,2004,39,1391802,2.802122716,4.9,0,44358,
Illinois,2004,9890,12589773,78.55582464,6.2,1,46077,
Indiana,2004,1003,6233007,16.09175154,5.4,0,42329,
Iowa,2004,55,2953635,1.862112279,4.5,0,43391,
Kansas,2004,107,2734373,3.913145719,5.5,0,41066,
Kentucky,2004,736,4146101,17.75161772,5.5,0,35610,
Louisiana,2004,3875,4552238,85.12296589,5.7,0,36429,
Maine,2004,19,1313688,1.446309931,4.7,0,41329,
Maryland,2004,4728,5546935,85.23626111,4.6,0,57103,
Massachusetts,2004,347,6412281,5.411490856,5.1,1,52019,
Michigan,2004,7581,10055315,75.39296382,7,0,42256,
Minnesota,2004,251,5087713,4.933454383,4.6,0,56104,
Mississippi,2004,309,2889010,10.69570545,6.1,0,34755,
Missouri,2004,1646,5747741,28.63733769,5.9,0,42137,
Montana,2004,31,930009,3.333301076,4.5,0,33956,
Nebraska,2004,35,1749370,2.000720259,3.9,0,43786,
Nevada,2004,1051,2346222,44.79542004,4.4,0,47204,
New Hampshire,2004,14,1290121,1.085169531,3.8,0,56815,
New Jersey,2004,1005,8634561,11.63927153,4.9,0,55275,
New Mexico,2004,301,1903808,15.81041786,5.6,0,39562,
New York,2004,15679,19171567,81.78256895,5.8,0,44649,
North Carolina,2004,761,8553152,8.89730476,5.9,0,40238,
North Dakota,2004,8,644705,1.240877611,3.4,0,39220,
Ohio,2004,1278,11452251,11.15937819,6.3,0,43055,
Oklahoma,2004,412,3525233,11.68717075,4.7,0,39614,
Oregon,2004,164,3569463,4.594528645,7.4,0,40994,
Pennsylvania,2004,5852,12410722,47.15277645,5.4,0,44106,
Rhode Island,2004,Not Found,1074579,#VALUE!,5.3,0,47935,
South Carolina,2004,400,4210921,9.499109577,7.4,0,38691,
South Dakota,2004,16,770396,2.076853982,3.6,0,41107,
Tennessee,2004,1123,5910809,18.99909133,5.3,0,38072,
Texas,2004,8267,22394023,36.91610034,6,0,41397,
Utah,2004,71,2401580,2.956387045,5,0,50871,
Vermont,2004,17,619920,2.742289328,3.7,0,47329,
Virginia,2004,816,7475575,10.9155483,4.1,0,51141,
Washington,2004,275,6178645,4.450814054,6.3,0,49922,
West Virginia,2004,73,1816438,4.018854483,5.8,0,33373,
Wisconsin,2004,487,5514026,8.832022192,5,0,45732,
Wyoming,2004,13,509106,2.553495736,3.8,0,45397,
Alabama,2005,924,4569805,20.21968115,4.4,0,37150,433
Alaska,2005,53,666946,7.946670345,6.9,0,55891,632
Arizona,2005,2896,5839077,49.59687978,4.7,0,45245,512
Arkansas,2005,308,2781097,11.07476654,5.3,0,36658,529
California,2005,16147,35827943,45.06817486,5.4,0,51755,526
Colorado,2005,400,4631888,8.635787394,5.1,0,50449,397
Connecticut,2005,159,3506956,4.533846447,4.8,0,56835,273
Delaware,2005,48,845150,5.679465184,4.5,0,51235,633
Florida,2005,472720,17842038,2649.473115,2.9,0,42990,709
Georgia,2005,1439,8925922,16.12158385,5.7,0,45926,446
Hawaii,2005,36,1292729,2.784806406,2.8,0,59586,256
Idaho,2005,42,1428241,2.940680179,4,0,44176,257
Illinois,2005,9932,12609903,78.76349247,5.7,1,48398,552
Indiana,2005,1061,6278616,16.89862861,5.4,0,42437,324
Iowa,2005,45,2964454,1.517986111,4.3,0,46500,293
Kansas,2005,164,2745299,5.973848386,5.1,0,42027,389
Kentucky,2005,551,4182742,13.17317683,5.9,0,36699,267
Louisiana,2005,2405,4576628,52.54960639,7.2,0,37236,597
Maine,2005,21,1318787,1.592372385,4.9,0,43923,113
Maryland,2005,4947,5592379,88.45966985,4.5,0,60512,704
Massachusetts,2005,437,6403290,6.82461672,4.8,1,56017,461
Michigan,2005,6445,10051137,64.12209882,6.8,0,45933,554
Minnesota,2005,230,5119598,4.492540235,4.1,0,54215,297
Mississippi,2005,241,2905943,8.293349181,7.6,0,32875,280
Missouri,2005,1950,5790300,33.67701155,5.4,0,42986,526
Montana,2005,24,940102,2.552914471,4.1,0,37313,282
Nebraska,2005,15,1761497,0.851548427,3.8,0,47923,287
Nevada,2005,1539,2432143,63.27752932,4.1,0,48209,608
New Hampshire,2005,18,1298492,1.386223404,3.6,0,56984,135
New Jersey,2005,1075,8651974,12.4249102,4.4,0,63368,355
New Mexico,2005,288,1932274,14.90471848,5.2,0,38947,646
New York,2005,14605,19132610,76.33563847,5,0,47176,444
North Carolina,2005,1087,8705407,12.48649259,5.6,0,42056,489
North Dakota,2005,11,646089,1.702551816,3.3,0,42192,111
Ohio,2005,2008,11463320,17.51674035,5.9,0,44203,350
Oklahoma,2005,481,3548597,13.55465273,4.3,0,37645,509
Oregon,2005,135,3613202,3.736298164,6.2,0,44159,287
Pennsylvania,2005,7151,12449990,57.43779714,5,0,46300,425
Rhode Island,2005,Not Found,1067916,#VALUE!,5.1,0,49484,252
South Carolina,2005,435,4270150,10.18699577,7.3,0,40230,767
South Dakota,2005,15,775493,1.934253436,3.6,0,43151,179
Tennessee,2005,1900,5991057,31.71393629,5.5,0,39406,757
Texas,2005,9132,22778123,40.09109969,5.5,0,41422,528
Utah,2005,67,2457719,2.726104978,4,0,54813,225
Vermont,2005,10,621215,1.609748638,3.5,0,50704,126
Virginia,2005,1012,7577105,13.3560245,3.8,0,51914,283
Washington,2005,318,6257305,5.082060088,5.6,0,50646,346
West Virginia,2005,84,1820492,4.614137277,5.5,0,36445,274
Wisconsin,2005,975,5546166,17.57971182,4.8,0,44650,242
Wyoming,2005,17,514157,3.30638307,3.6,0,44718,230
Alabama,2006,955,4628981,20.63089047,4,0,37952,425
Alaska,2006,68,675302,10.06956887,6.6,0,56418,688
Arizona,2006,3320,6029141,55.0658875,4.3,0,46657,501
Arkansas,2006,435,2821761,15.41590517,5.2,0,37057,552
California,2006,15898,36021202,44.13511798,4.9,0,55319,533
Colorado,2006,344,4720423,7.287482499,4.2,0,55697,362
Connecticut,2006,157,3517460,4.463448056,4.4,0,62404,281
Delaware,2006,58,859268,6.749931337,3.9,0,52438,682
Florida,2006,657945,18166990,3621.651138,2.5,0,45676,712
Georgia,2006,1751,9155813,19.12446224,5.1,0,49344,471
Hawaii,2006,41,1309731,3.130413803,2.5,0,60470,281
Idaho,2006,33,1468669,2.246932427,3.4,0,46213,247
Illinois,2006,10737,12643955,84.91804977,4.6,1,48671,542
Indiana,2006,1260,6332669,19.89682391,5,0,45407,315
Iowa,2006,55,2982644,1.844001497,3.7,0,48126,284
