state,year,Incident,Population,Murder rate,Unemployment rate,ammpermit,Median Household income,Crime rate
Maine,2012,34,1328094,2.560059755,7.2,0,49158,122
Maryland,2012,2791,5888375,47.39847581,6.9,0,71836,477
Massachusetts,2012,271,6664269,4.066462503,6.7,1,63656,407
Michigan,2012,7588,9898289,76.65971361,9,0,50015,455
Minnesota,2012,201,5377500,3.737796374,5.6,0,61795,231
Mississippi,2012,374,2984599,12.53099663,8.8,0,36641,260
Missouri,2012,1507,6026027,25.00818533,7.2,0,49764,451
Montana,2012,25,1004168,2.48962325,5.8,0,45088,279
Nebraska,2012,114,1853691,6.149892296,3.9,0,52196,259
Nevada,2012,485,2744670,17.6706125,11.6,0,47333,609
New Hampshire,2012,17,1324677,1.28333171,5.4,0,67819,215
New Jersey,2012,1084,8845671,12.25458193,9.4,0,66692,290
New Mexico,2012,190,2087715,9.100859073,7,0,43424,560
New York,2012,8227,19574362,42.02946691,8.6,0,47680,406
North Carolina,2012,753,9751810,7.721643469,9.5,0,41553,354
North Dakota,2012,14,702227,1.993657322,2.9,0,55766,246
Ohio,2012,1151,11550971,9.964530255,7.4,0,44375,302
Oklahoma,2012,670,3819320,17.54238974,5.1,0,48407,474
Oregon,2012,141,3900102,3.615290062,8.8,0,51775,247
Pennsylvania,2012,5973,12769123,46.77690081,7.7,0,51904,356
Rhode Island,2012,Not Found,1054893,#VALUE!,10.2,0,56065,253
South Carolina,2012,462,4719027,9.790153775,9,0,44401,561
South Dakota,2012,16,833859,1.918789628,4.1,0,49415,324
Tennessee,2012,1620,6455752,25.09390076,8,0,42995,639
Texas,2012,5941,26084120,22.77630988,6.7,0,51926,409
Utah,2012,63,2854146,2.207315253,4.8,0,58341,208
Vermont,2012,11,626361,1.756175752,4.8,0,55582,142
Virginia,2012,568,8187456,6.937441862,5.9,0,64632,192
Washington,2012,292,6898599,4.232743489,7.7,0,62187,298
West Virginia,2012,75,1857446,4.037802445,7.2,0,43553,320
Wisconsin,2012,600,5720825,10.4879978,6.9,0,53079,284
Wyoming,2012,18,576656,3.121445021,5.5,0,57512,201
Alabama,2013,2,4831586,0.041394275,7.3,0,42278,431
Alaska,2013,68,737626,9.218763981,7,0,67629,639
Arizona,2013,1539,6634690,23.19626087,7.8,0,49254,416
Arkansas,2013,216,2960459,7.296165899,7.1,0,44922,463
California,2013,7695,38253768,20.11566547,9,0,60487,403
Colorado,2013,307,5270774,5.824571496,6.7,0,60940,305
Connecticut,2013,147,3595792,4.088111882,8,1,70161,262
Delaware,2013,50,924062,5.410892343,6.6,0,57522,501
Florida,2013,521043,19551678,2664.95285,7.5,0,46140,469
Georgia,2013,1199,9975592,12.0193368,8.1,0,49555,375
Hawaii,2013,39,1408822,2.768270229,4.8,0,71223,254
Idaho,2013,32,1612053,1.985046397,6.8,0,53438,215
Illinois,2013,8791,12895778,68.16959783,9.1,1,54916,403
Indiana,2013,2816,6570575,42.85774076,7.5,0,48060,360
Iowa,2013,51,3093935,1.648386278,4.7,0,57810,273
Kansas,2013,161,2894306,5.562646106,5.3,0,53444,343
Kentucky,2013,309,4406906,7.011722056,7.9,0,42786,211
Louisiana,2013,1785,4626040,38.58591798,6.4,0,42406,521
Maine,2013,32,1328543,2.408653691,6.7,0,51710,133
Maryland,2013,2973,5925197,50.17554691,6.5,0,76165,475
Massachusetts,2013,227,6715158,3.380411898,6.6,1,63151,406
Michigan,2013,5304,9914802,53.49577329,8.7,0,52005,452
Minnesota,2013,200,5414722,3.693633764,5,0,67244,234
Mississippi,2013,242,2989839,8.09408132,8.5,0,35521,278
Missouri,2013,1584,6042989,26.212194,6.8,0,56630,434
Montana,2013,16,1014158,1.577663441,5.4,0,51102,288
Nebraska,2013,157,1865813,8.414562445,3.7,0,56870,265
Nevada,2013,587,2776956,21.13825354,10,0,49875,605
New Hampshire,2013,25,1327272,1.883562676,5.3,0,73397,223
New Jersey,2013,1200,8857821,13.54734985,8.4,0,65243,289
New Mexico,2013,208,2092833,9.938681204,6.9,0,46686,623
New York,2013,5557,19626488,28.31377677,7.8,0,54310,394
North Carolina,2013,750,9846717,7.616751857,7.8,0,46784,341
North Dakota,2013,11,723149,1.521124969,2.9,0,60730,273
Ohio,2013,1708,11579692,14.74996053,7.5,0,49644,291
Oklahoma,2013,574,3853891,14.89403826,5.1,0,47199,446
Oregon,2013,103,3924110,2.624798999,7.8,0,58875,243
Pennsylvania,2013,3919,12779538,30.66621031,7.1,0,55173,335
Rhode Island,2013,Not Found,1055560,#VALUE!,9.5,0,58633,257
South Carolina,2013,395,4766469,8.287056939,7.4,0,44929,509
South Dakota,2013,13,842751,1.54256714,3.7,0,53053,323
Tennessee,2013,1306,6496943,20.10176171,7.8,0,43716,586
Texas,2013,6554,26479646,24.75108617,6.3,0,53875,410
Utah,2013,51,2898773,1.759365083,4.2,0,63383,229
Vermont,2013,11,626603,1.7554975,4.4,0,60708,124
Virginia,2013,521,8255861,6.310668263,5.6,0,66155,198
Washington,2013,246,6966252,3.531310667,6.6,0,59068,290
West Virginia,2013,63,1854768,3.396651225,6.7,0,39552,305
Wisconsin,2013,786,5738012,13.69812402,6.7,0,58080,281
Wyoming,2013,18,582620,3.089492293,4.8,0,55690,208
Alabama,2014,1,4843737,0.020645217,6.7,0,42278,428
Alaska,2014,74,737075,10.03968389,6.7,0,67629,636
Arizona,2014,1187,6732873,17.62991816,6.8,0,49254,393
Arkansas,2014,295,2968759,9.936811981,5.9,0,44922,480
California,2014,6784,38586706,17.58118457,7.6,0,60487,396
Colorado,2014,238,5352637,4.44640651,5,0,60940,308
Connecticut,2014,122,3595697,3.3929444,6.6,1,70161,239
Delaware,2014,82,933131,8.787619316,5.6,0,57522,488
Florida,2014,511746,19853880,2577.561666,6.4,0,46140,459
Georgia,2014,1747,10071204,17.34648608,7.1,0,49555,386
Hawaii,2014,18,1415335,1.271783712,4.2,0,71223,237
Idaho,2014,31,1632248,1.899221197,4.4,0,53438,210
Illinois,2014,8597,12885092,66.72051701,7.2,1,54916,371
Indiana,2014,3028,6596019,45.90647783,5.9,0,48060,365
Iowa,2014,77,3110643,2.475372455,4.2,0,57810,273
Kansas,2014,192,2901861,6.616443724,4.5,0,53444,353
Kentucky,2014,335,4416992,7.584346995,6.4,0,42786,215
Louisiana,2014,1818,4645938,39.13095698,6.3,0,42406,516
Maine,2014,29,1331217,2.178457757,5.6,0,51710,128
Maryland,2014,2612,5960064,43.82503275,5.7,0,76165,448
Massachusetts,2014,260,6764864,3.843388426,5.7,1,63151,395
Michigan,2014,4701,9932033,47.33169936,7.2,0,52005,429
Minnesota,2014,148,5452665,2.714269078,4.3,0,67244,229
Mississippi,2014,393,2991892,13.13550088,7.6,0,35521,278
Missouri,2014,1879,6059130,31.01105274,6.2,0,56630,443
Montana,2014,33,1022657,3.22688839,4.7,0,51102,329
Nebraska,2014,644,1879955,34.25613911,3.3,0,56870,276
Nevada,2014,959,2818935,34.01994015,8.2,0,49875,636
New Hampshire,2014,19,1334257,1.424013515,4.3,0,73397,198
New Jersey,2014,896,8867277,10.10456761,6.7,0,65243,261
New Mexico,2014,276,2090236,13.20425062,6.6,0,46686,598
New York,2014,5932,19653431,30.18302504,6.3,0,54310,385
North Carolina,2014,716,9937295,7.205180082,6.1,0,46784,329
North Dakota,2014,16,738736,2.165861688,2.6,0,60730,270
Ohio,2014,1497,11606573,12.89786399,5.8,0,49644,286
Oklahoma,2014,16826,3879187,433.7506802,4.3,0,47199,414
Oregon,2014,143,3965447,3.606150832,6.7,0,58875,259
Pennsylvania,2014,3753,12792392,29.33775013,5.9,0,55173,315
Rhode Island,2014,Not Found,1056511,#VALUE!,7.8,0,58633,220
South Carolina,2014,456,4826858,9.447139319,6.3,0,44929,498
South Dakota,2014,24,849670,2.824626031,3.3,0,53053,328
Tennessee,2014,1640,6544617,25.05876203,6.6,0,43716,611
Texas,2014,9036,26963092,33.51247698,5.2,0,53875,407
Utah,2014,81,2938327,2.756670718,3.6,0,63383,220
Vermont,2014,12,625693,1.917873462,4,0,60708,103
Virginia,2014,553,8315430,6.650287478,5.1,0,66155,198
Washington,2014,270,7057531,3.825700518,5.9,0,59068,286
West Virginia,2014,81,1850569,4.377032145,6.5,0,39552,316
Wisconsin,2014,547,5753199,9.50775386,5.3,0,58080,291
Wyoming,2014,14,583159,2.400717472,4.3,0,55690,195
Alabama,2015,Not Found,4854803,#VALUE!,Not Found,0,44509,473
Alaska,2015,Not Found,738430,#VALUE!,Not Found,0,75112,731
Arizona,2015,Not Found,6832810,#VALUE!,Not Found,0,52248,410
Arkansas,2015,Not Found,2979732,#VALUE!,Not Found,0,42798,530
California,2015,Not Found,38904296,#VALUE!,Not Found,0,63636,428
Colorado,2015,Not Found,5454328,#VALUE!,Not Found,0,66596,318
Connecticut,2015,Not Found,3588561,#VALUE!,Not Found,1,72889,221
Delaware,2015,Not Found,942065,#VALUE!,Not Found,0,57756,504
Florida,2015,Not Found,20219111,#VALUE!,Not Found,0,48825,463
Georgia,2015,Not Found,10183353,#VALUE!,Not Found,0,50768,381
Hawaii,2015,Not Found,1422999,#VALUE!,Not Found,0,64514,248
Idaho,2015,Not Found,1652495,#VALUE!,Not Found,0,51624,217
Illinois,2015,Not Found,12859585,#VALUE!,Not Found,1,60413,388
Indiana,2015,Not Found,6611442,#VALUE!,Not Found,0,51983,384
Iowa,2015,Not Found,3122541,#VALUE!,Not Found,0,60855,276
Kansas,2015,Not Found,2910717,#VALUE!,Not Found,0,54865,395
Kentucky,2015,Not Found,4429126,#VALUE!,Not Found,0,42387,224
Louisiana,2015,Not Found,4666998,#VALUE!,Not Found,0,45922,540
Maine,2015,Not Found,1329098,#VALUE!,Not Found,0,50756,130
Maryland,2015,Not Found,5988528,#VALUE!,Not Found,0,73594,470
Massachusetts,2015,Not Found,6797484,#VALUE!,Not Found,1,67861,390
Michigan,2015,Not Found,9934483,#VALUE!,Not Found,0,54203,421
Minnesota,2015,Not Found,5484002,#VALUE!,Not Found,0,68730,243
Mississippi,2015,Not Found,2990231,#VALUE!,Not Found,0,40037,274
Missouri,2015,Not Found,6075411,#VALUE!,Not Found,0,59196,499
Montana,2015,Not Found,1031495,#VALUE!,Not Found,0,51395,353
Nebraska,2015,Not Found,1892059,#VALUE!,Not Found,0,60474,273
Nevada,2015,Not Found,2868531,#VALUE!,Not Found,0,52008,698
New Hampshire,2015,Not Found,1337480,#VALUE!,Not Found,0,75675,202
New Jersey,2015,Not Found,8870312,#VALUE!,Not Found,0,68357,256
New Mexico,2015,Not Found,2090071,#VALUE!,Not Found,0,45119,657
New York,2015,Not Found,19657321,#VALUE!,Not Found,0,58005,380
North Carolina,2015,Not Found,10037218,#VALUE!,Not Found,0,50797,346
North Dakota,2015,Not Found,755537,#VALUE!,Not Found,0,57415,258
Ohio,2015,Not Found,11622315,#VALUE!,Not Found,0,53301,296
Oklahoma,2015,Not Found,3910518,#VALUE!,Not Found,0,47077,429
Oregon,2015,Not Found,4018542,#VALUE!,Not Found,0,60834,265
Pennsylvania,2015,Not Found,12789838,#VALUE!,Not Found,0,60389,315
Rhode Island,2015,Not Found,1056886,#VALUE!,Not Found,0,55701,243
South Carolina,2015,Not Found,4896006,#VALUE!,Not Found,0,46360,500
South Dakota,2015,Not Found,854663,#VALUE!,Not Found,0,55065,385
Tennessee,2015,Not Found,6595354,#VALUE!,Not Found,0,47330,619
Texas,2015,Not Found,27468531,#VALUE!,Not Found,0,56473,413
Utah,2015,Not Found,2983626,#VALUE!,Not Found,0,66258,239
Vermont,2015,Not Found,625810,#VALUE!,Not Found,0,59494,119
Virginia,2015,Not Found,8367303,#VALUE!,Not Found,0,61486,200
Washington,2015,Not Found,7167287,#VALUE!,Not Found,0,67243,286
West Virginia,2015,Not Found,1843332,#VALUE!,Not Found,0,42824,348
Wisconsin,2015,Not Found,5762927,#VALUE!,Not Found,0,55425,304
Wyoming,2015,Not Found,586389,#VALUE!,Not Found,0,60925,222
Alabama,2016,Not Found,4866824,#VALUE!,Not Found,0,47221,532
Alaska,2016,Not Found,742575,#VALUE!,Not Found,0,75723,805
Arizona,2016,Not Found,6944767,#VALUE!,Not Found,0,57100,471
Arkansas,2016,Not Found,2991815,#VALUE!,Not Found,0,45907,554
California,2016,Not Found,39149186,#VALUE!,Not Found,0,66637,445
Colorado,2016,Not Found,5543844,#VALUE!,Not Found,0,70566,344
Connecticut,2016,Not Found,3579830,#VALUE!,Not Found,1,75923,228
Delaware,2016,Not Found,949989,#VALUE!,Not Found,0,58046,510
Florida,2016,Not Found,20627237,#VALUE!,Not Found,0,51176,429
Georgia,2016,Not Found,10308442,#VALUE!,Not Found,0,53527,390
Hawaii,2016,Not Found,1428885,#VALUE!,Not Found,0,72133,242
Idaho,2016,Not Found,1684036,#VALUE!,Not Found,0,56564,231
Illinois,2016,Not Found,12821709,#VALUE!,Not Found,1,61386,437
Indiana,2016,Not Found,6637898,#VALUE!,Not Found,0,56094,400
Iowa,2016,Not Found,3133210,#VALUE!,Not Found,0,59094,293
Kansas,2016,Not Found,2912977,#VALUE!,Not Found,0,56810,401
Kentucky,2016,Not Found,4440306,#VALUE!,Not Found,0,45369,236
Louisiana,2016,Not Found,4681346,#VALUE!,Not Found,0,42196,565
Maine,2016,Not Found,1332348,#VALUE!,Not Found,0,50856,124
Maryland,2016,Not Found,6007014,#VALUE!,Not Found,0,73760,482
Massachusetts,2016,Not Found,6827280,#VALUE!,Not Found,1,72266,381
Michigan,2016,Not Found,9954117,#VALUE!,Not Found,0,57091,461
Minnesota,2016,Not Found,5525360,#VALUE!,Not Found,0,70218,242
Mississippi,2016,Not Found,2990595,#VALUE!,Not Found,0,41099,282
Missouri,2016,Not Found,6091384,#VALUE!,Not Found,0,55016,521
Montana,2016,Not Found,1042137,#VALUE!,Not Found,0,57075,374
Nebraska,2016,Not Found,1906483,#VALUE!,Not Found,0,59374,297
Nevada,2016,Not Found,2919555,#VALUE!,Not Found,0,55431,678
New Hampshire,2016,Not Found,1343694,#VALUE!,Not Found,0,76260,200
New Jersey,2016,Not Found,8873584,#VALUE!,Not Found,0,68468,244
New Mexico,2016,Not Found,2092555,#VALUE!,Not Found,0,48451,699
New York,2016,Not Found,19636391,#VALUE!,Not Found,0,61437,375
North Carolina,2016,Not Found,10161802,#VALUE!,Not Found,0,53764,372
North Dakota,2016,Not Found,756114,#VALUE!,Not Found,0,60184,252
Ohio,2016,Not Found,11640060,#VALUE!,Not Found,0,53985,308
Oklahoma,2016,Not Found,3928143,#VALUE!,Not Found,0,50943,455
Oregon,2016,Not Found,4093271,#VALUE!,Not Found,0,59135,269
Pennsylvania,2016,Not Found,12788468,#VALUE!,Not Found,0,60979,316
Rhode Island,2016,Not Found,1057816,#VALUE!,Not Found,0,61528,239
South Carolina,2016,Not Found,4963031,#VALUE!,Not Found,0,54336,507
South Dakota,2016,Not Found,863693,#VALUE!,Not Found,0,57450,422
Tennessee,2016,Not Found,6651277,#VALUE!,Not Found,0,51344,639
Texas,2016,Not Found,27914064,#VALUE!,Not Found,0,58146,434
Utah,2016,Not Found,3044241,#VALUE!,Not Found,0,67481,243
Vermont,2016,Not Found,624366,#VALUE!,Not Found,0,60837,137
Virginia,2016,Not Found,8417651,#VALUE!,Not Found,0,66451,220
Washington,2016,Not Found,7299961,#VALUE!,Not Found,0,70310,304
West Virginia,2016,Not Found,1832435,#VALUE!,Not Found,0,44354,363
Wisconsin,2016,Not Found,5775170,#VALUE!,Not Found,0,59817,307
Wyoming,2016,Not Found,585243,#VALUE!,Not Found,0,57829,245
Alabama,2017,Not Found,4877989,#VALUE!,Not Found,0,51113,524
Alaska,2017,Not Found,740983,#VALUE!,Not Found,0,72231,829
Arizona,2017,Not Found,7048088,#VALUE!,Not Found,0,61125,508
Arkansas,2017,Not Found,3003855,#VALUE!,Not Found,0,48829,555
California,2017,Not Found,39337785,#VALUE!,Not Found,0,69759,449
Colorado,2017,Not Found,5617421,#VALUE!,Not Found,0,74172,368
Connecticut,2017,Not Found,3575324,#VALUE!,Not Found,1,72780,228
Delaware,2017,Not Found,957942,#VALUE!,Not Found,0,62318,453
Florida,2017,Not Found,20977089,#VALUE!,Not Found,0,53681,408
Georgia,2017,Not Found,10417031,#VALUE!,Not Found,0,57016,357
Hawaii,2017,Not Found,1425763,#VALUE!,Not Found,0,73575,251
Idaho,2017,Not Found,1719745,#VALUE!,Not Found,0,60208,226
Illinois,2017,Not Found,12779893,#VALUE!,Not Found,1,64609,439
Indiana,2017,Not Found,6662068,#VALUE!,Not Found,0,58873,399
Iowa,2017,Not Found,3143734,#VALUE!,Not Found,0,63481,293
Kansas,2017,Not Found,2910892,#VALUE!,Not Found,0,57872,413
Kentucky,2017,Not Found,4455590,#VALUE!,Not Found,0,51348,226
Louisiana,2017,Not Found,4673673,#VALUE!,Not Found,0,43903,557
Maine,2017,Not Found,1335743,#VALUE!,Not Found,0,51664,121
Maryland,2017,Not Found,6028186,#VALUE!,Not Found,0,81084,500
Massachusetts,2017,Not Found,6863560,#VALUE!,Not Found,1,73227,358
Michigan,2017,Not Found,9976752,#VALUE!,Not Found,0,57700,450
Minnesota,2017,Not Found,5569283,#VALUE!,Not Found,0,71920,238
Mississippi,2017,Not Found,2990674,#VALUE!,Not Found,0,43441,286
Missouri,2017,Not Found,6111382,#VALUE!,Not Found,0,56885,530
Montana,2017,Not Found,1053862,#VALUE!,Not Found,0,59087,377
Nebraska,2017,Not Found,1916998,#VALUE!,Not Found,0,59619,306
Nevada,2017,Not Found,2972097,#VALUE!,Not Found,0,56550,556
New Hampshire,2017,Not Found,1350395,#VALUE!,Not Found,0,74801,199
New Jersey,2017,Not Found,8888147,#VALUE!,Not Found,0,72997,229
New Mexico,2017,Not Found,2092844,#VALUE!,Not Found,0,47855,784
New York,2017,Not Found,19593849,#VALUE!,Not Found,0,62447,357
North Carolina,2017,Not Found,10275758,#VALUE!,Not Found,0,50343,364
North Dakota,2017,Not Found,756755,#VALUE!,Not Found,0,59886,281
Ohio,2017,Not Found,11665706,#VALUE!,Not Found,0,59768,298
Oklahoma,2017,Not Found,3933602,#VALUE!,Not Found,0,55006,456
Oregon,2017,Not Found,4147294,#VALUE!,Not Found,0,64610,282
Pennsylvania,2017,Not Found,12794679,#VALUE!,Not Found,0,63173,313
Rhode Island,2017,Not Found,1056554,#VALUE!,Not Found,0,66390,232
South Carolina,2017,Not Found,5027102,#VALUE!,Not Found,0,54971,506
South Dakota,2017,Not Found,873732,#VALUE!,Not Found,0,56894,434
Tennessee,2017,Not Found,6714748,#VALUE!,Not Found,0,55240,652
Texas,2017,Not Found,28291024,#VALUE!,Not Found,0,59295,439
Utah,2017,Not Found,3103540,#VALUE!,Not Found,0,71319,239
Vermont,2017,Not Found,625132,#VALUE!,Not Found,0,63805,166
Virginia,2017,Not Found,8471011,#VALUE!,Not Found,0,71293,208
Washington,2017,Not Found,7427951,#VALUE!,Not Found,0,75418,305
West Virginia,2017,Not Found,1818683,#VALUE!,Not Found,0,45392,351
Wisconsin,2017,Not Found,5793147,#VALUE!,Not Found,0,63451,320
Wyoming,2017,Not Found,579994,#VALUE!,Not Found,0,57837,238